title,description,content,full_text,clean_text
Conclave to elect Pope Francis’ successor set to start on May 7 - CNN,"Cardinals have chosen May 7 as the date to start conclave and elect a new leader for 1.4 billion Catholics around the world, the Vatican announced.","Cardinals have chosen May 7 as the date to start conclave and elect a new leader for 1.4 billion Catholics around the world, the Vatican announced.
The date for the papal election was decided on Mon… [+4657 chars]","Conclave to elect Pope Francis’ successor set to start on May 7 - CNN Cardinals have chosen May 7 as the date to start conclave and elect a new leader for 1.4 billion Catholics around the world, the Vatican announced. Cardinals have chosen May 7 as the date to start conclave and elect a new leader for 1.4 billion Catholics around the world, the Vatican announced.
The date for the papal election was decided on Mon… [+4657 chars]",conclave elect pope francis’ successor set start may 7 cnn cardinals chosen may 7 date start conclave elect new leader 14 billion catholics around world vatican announced cardinals chosen may 7 date start conclave elect new leader 14 billion catholics around world vatican announced date papal election decided mon… 4657 chars
Apple To Stick With China For iPhone 18 Production As 20th Anniversary Lineup Features An ‘Extraordinarily Complex’ Design That Demands Advanced Engineering And Manufacturing Expertise - Wccftech,"Apple to stick to China for iPhone 18 Pro production due to the complexities involved with the new design, including an iPhone Fold.","Next year, Apple will celebrate the 20th anniversary of the iPhone with a major redesign. Amid the company's major plans for the device, hefty tariffs are forcing Apple to shift iPhone production fro… [+2221 chars]","Apple To Stick With China For iPhone 18 Production As 20th Anniversary Lineup Features An ‘Extraordinarily Complex’ Design That Demands Advanced Engineering And Manufacturing Expertise - Wccftech Apple to stick to China for iPhone 18 Pro production due to the complexities involved with the new design, including an iPhone Fold. Next year, Apple will celebrate the 20th anniversary of the iPhone with a major redesign. Amid the company's major plans for the device, hefty tariffs are forcing Apple to shift iPhone production fro… [+2221 chars]",apple stick china iphone 18 production 20th anniversary lineup features ‘extraordinarily complex’ design demands advanced engineering manufacturing expertise wccftech apple stick china iphone 18 pro production due complexities involved new design including iphone fold next year apple celebrate 20th anniversary iphone major redesign amid companys major plans device hefty tariffs forcing apple shift iphone production fro… 2221 chars
Temu customers in the U.S. hit with steep import charges due to tariffs - NBC News,"Chinese online retailer Temu, known for its ultralow prices, is hitting U.S. customers with hefty import charges due to President Donald Trump's trade war.","Chinese online retailer Temu, known for its ultralow prices, is hitting U.S. customers with hefty import charges due to President Donald Trump's trade war.
Tariffs imposed by the Trump administratio… [+2888 chars]","Temu customers in the U.S. hit with steep import charges due to tariffs - NBC News Chinese online retailer Temu, known for its ultralow prices, is hitting U.S. customers with hefty import charges due to President Donald Trump's trade war. Chinese online retailer Temu, known for its ultralow prices, is hitting U.S. customers with hefty import charges due to President Donald Trump's trade war.
Tariffs imposed by the Trump administratio… [+2888 chars]",temu customers us hit steep import charges due tariffs nbc news chinese online retailer temu known ultralow prices hitting us customers hefty import charges due president donald trumps trade war chinese online retailer temu known ultralow prices hitting us customers hefty import charges due president donald trumps trade war tariffs imposed trump administratio… 2888 chars
"Cyndi Lauper, OutKast are among 13 Rock & Roll Hall of Fame inductees - The Washington Post","The music foundation will also honor Warren Zevon and Chubby Checker of “Twist” fame, plus bands like Salt-N-Pepa, the White Stripes and Soundgarden.","The Rock &amp; Roll Hall of Fame unveiled its latest 13 inductees Sunday, including Cyndi Lauper, OutKast and Warren Zevon but leaving out Mariah Carey and Oasis, who were among the nominees.
The in… [+1853 chars]","Cyndi Lauper, OutKast are among 13 Rock & Roll Hall of Fame inductees - The Washington Post The music foundation will also honor Warren Zevon and Chubby Checker of “Twist” fame, plus bands like Salt-N-Pepa, the White Stripes and Soundgarden. The Rock &amp; Roll Hall of Fame unveiled its latest 13 inductees Sunday, including Cyndi Lauper, OutKast and Warren Zevon but leaving out Mariah Carey and Oasis, who were among the nominees.
The in… [+1853 chars]",cyndi lauper outkast among 13 rock roll hall fame inductees washington post music foundation also honor warren zevon chubby checker “twist” fame plus bands like saltnpepa white stripes soundgarden rock amp roll hall fame unveiled latest 13 inductees sunday including cyndi lauper outkast warren zevon leaving mariah carey oasis among nominees in… 1853 chars
DHL reverses course and resumes shipping packages valued over $800 to U.S. consumers - NPR,The policy reversal comes one week after the global shipping company said it would halt such shipments due to new U.S. customs rules.,"The global shipping company DHL says it has resumed shipping packages valued over $800 in value to individual U.S. consumers, just one week after saying it was halting such shipments due to new U.S. … [+1572 chars]","DHL reverses course and resumes shipping packages valued over $800 to U.S. consumers - NPR The policy reversal comes one week after the global shipping company said it would halt such shipments due to new U.S. customs rules. The global shipping company DHL says it has resumed shipping packages valued over $800 in value to individual U.S. consumers, just one week after saying it was halting such shipments due to new U.S. … [+1572 chars]",dhl reverses course resumes shipping packages valued 800 us consumers npr policy reversal comes one week global shipping company said would halt shipments due new us customs rules global shipping company dhl says resumed shipping packages valued 800 value individual us consumers one week saying halting shipments due new us … 1572 chars
'Totally unexpected': Two new crocodile species discovered in the Caribbean - Live Science,"A crocodile DNA study has revealed two previously unknown Crocodylus species in the Caribbean. The crocodiles live on Cozumel and Banco Chinchorro, where they're threatened by human activities.","Researchers have identified two new crocodile species living on isolated islands in the Caribbean — and they're both threatened with extinction, a new study has found.
The reptiles, previously thoug… [+3164 chars]","'Totally unexpected': Two new crocodile species discovered in the Caribbean - Live Science A crocodile DNA study has revealed two previously unknown Crocodylus species in the Caribbean. The crocodiles live on Cozumel and Banco Chinchorro, where they're threatened by human activities. Researchers have identified two new crocodile species living on isolated islands in the Caribbean — and they're both threatened with extinction, a new study has found.
The reptiles, previously thoug… [+3164 chars]",totally unexpected two new crocodile species discovered caribbean live science crocodile dna study revealed two previously unknown crocodylus species caribbean crocodiles live cozumel banco chinchorro theyre threatened human activities researchers identified two new crocodile species living isolated islands caribbean — theyre threatened extinction new study found reptiles previously thoug… 3164 chars
"Trump made big promises and moved at frenetic speed. 100 days in, here's what he's done and not done - AP News","The weeks since President Donald Trump returned to office have been a whirlwind of activity to show Americans his administration is relentlessly pursuing his promises. As Trump hits his 100th day in office Tuesday, his imprint is everywhere. But the long-term…","WASHINGTON (AP) The weeks since President Donald Trump returned to office have been a whirlwind of activity to show Americans that his administration is relentlessly pursuing his promises.
With a co… [+10521 chars]","Trump made big promises and moved at frenetic speed. 100 days in, here's what he's done and not done - AP News The weeks since President Donald Trump returned to office have been a whirlwind of activity to show Americans his administration is relentlessly pursuing his promises. As Trump hits his 100th day in office Tuesday, his imprint is everywhere. But the long-term… WASHINGTON (AP) The weeks since President Donald Trump returned to office have been a whirlwind of activity to show Americans that his administration is relentlessly pursuing his promises.
With a co… [+10521 chars]",trump made big promises moved frenetic speed 100 days heres hes done done ap news weeks since president donald trump returned office whirlwind activity show americans administration relentlessly pursuing promises trump hits 100th day office tuesday imprint everywhere longterm… washington ap weeks since president donald trump returned office whirlwind activity show americans administration relentlessly pursuing promises co… 10521 chars
Ultra-processed foods may be linked to early death - BBC,"UPFs, such as crisps, biscuits, ice cream, hot dogs and fizzy drinks, are increasingly common in diets worldwide.","Philippa Roxby
Crisps, croissants, doughnuts, muffins, sweets and hot dogs all count as ultra-processed food
People who eat lots of ultra-processed foods (UPF) may be at greater risk of dying early… [+4847 chars]","Ultra-processed foods may be linked to early death - BBC UPFs, such as crisps, biscuits, ice cream, hot dogs and fizzy drinks, are increasingly common in diets worldwide. Philippa Roxby
Crisps, croissants, doughnuts, muffins, sweets and hot dogs all count as ultra-processed food
People who eat lots of ultra-processed foods (UPF) may be at greater risk of dying early… [+4847 chars]",ultraprocessed foods may linked early death bbc upfs crisps biscuits ice cream hot dogs fizzy drinks increasingly common diets worldwide philippa roxby crisps croissants doughnuts muffins sweets hot dogs count ultraprocessed food people eat lots ultraprocessed foods upf may greater risk dying early… 4847 chars
Trump Tariffs: Bessent Says ‘It’s Up to China to De-Escalate’ in Trade War - Bloomberg.com,Treasury Secretary Scott Bessent said “all aspects” of the US government are in contact with China but that it’s up to Beijing to take the first step in de-escalating the tariff fight with the US due to the imbalance of trade between the two nations.,"Supply Lines is a daily newsletter that tracks global trade. Sign up here.
Treasury Secretary Scott Bessent said all aspects of the US government are in contact with China but that its up to Beijing… [+123 chars]","Trump Tariffs: Bessent Says ‘It’s Up to China to De-Escalate’ in Trade War - Bloomberg.com Treasury Secretary Scott Bessent said “all aspects” of the US government are in contact with China but that it’s up to Beijing to take the first step in de-escalating the tariff fight with the US due to the imbalance of trade between the two nations. Supply Lines is a daily newsletter that tracks global trade. Sign up here.
Treasury Secretary Scott Bessent said all aspects of the US government are in contact with China but that its up to Beijing… [+123 chars]",trump tariffs bessent says ‘it’s china deescalate’ trade war bloombergcom treasury secretary scott bessent said “all aspects” us government contact china it’s beijing take first step deescalating tariff fight us due imbalance trade two nations supply lines daily newsletter tracks global trade sign treasury secretary scott bessent said aspects us government contact china beijing… 123 chars
"Home Panel widely rolling out to Chromecast with Google TV, and more - 9to5Google",The quick Home Panel for your connected smart devices is now rolling out for the Chromecast with Google TV.,"After being available as part of a Public Preview phase, the quick Home Panel for your connected smart devices is now rolling out for the Chromecast with Google TV and other Google TV sets.
The func… [+1986 chars]","Home Panel widely rolling out to Chromecast with Google TV, and more - 9to5Google The quick Home Panel for your connected smart devices is now rolling out for the Chromecast with Google TV. After being available as part of a Public Preview phase, the quick Home Panel for your connected smart devices is now rolling out for the Chromecast with Google TV and other Google TV sets.
The func… [+1986 chars]",home panel widely rolling chromecast google tv 9to5google quick home panel connected smart devices rolling chromecast google tv available part public preview phase quick home panel connected smart devices rolling chromecast google tv google tv sets func… 1986 chars
A Complete Guide to Diddy’s Sex-Trafficking Trial - Vulture,"Here, everything you need to remember about the charges, how to watch, and if Cassie Ventura will be there.","For weekly updates on all the most pivotal and dramatic moments from Diddys trial, sign up for our newsletter Court Appearances: United States v. Diddy.
Less than one year after his arrest at a Manh… [+4891 chars]","A Complete Guide to Diddy’s Sex-Trafficking Trial - Vulture Here, everything you need to remember about the charges, how to watch, and if Cassie Ventura will be there. For weekly updates on all the most pivotal and dramatic moments from Diddys trial, sign up for our newsletter Court Appearances: United States v. Diddy.
Less than one year after his arrest at a Manh… [+4891 chars]",complete guide diddy’s sextrafficking trial vulture everything need remember charges watch cassie ventura weekly updates pivotal dramatic moments diddys trial sign newsletter court appearances united states v diddy less one year arrest manh… 4891 chars
Lawyers for Deported U.S. Citizen Kids Say Moms Were ‘Coerced’ Into Taking Them - Rolling Stone,Marco Rubio claimed two deported Louisiana mothers voluntarily brought their children with them. Attorneys for the families say that’s a lie.,"Three U.S. citizen children were illegally removed from Louisiana and flown to Honduras last Friday, their attorneys say, in a story that has swiftly caught national attention. 
Legal counsel for th… [+6760 chars]","Lawyers for Deported U.S. Citizen Kids Say Moms Were ‘Coerced’ Into Taking Them - Rolling Stone Marco Rubio claimed two deported Louisiana mothers voluntarily brought their children with them. Attorneys for the families say that’s a lie. Three U.S. citizen children were illegally removed from Louisiana and flown to Honduras last Friday, their attorneys say, in a story that has swiftly caught national attention. 
Legal counsel for th… [+6760 chars]",lawyers deported us citizen kids say moms ‘coerced’ taking rolling stone marco rubio claimed two deported louisiana mothers voluntarily brought children attorneys families say that’s lie three us citizen children illegally removed louisiana flown honduras last friday attorneys say story swiftly caught national attention legal counsel th… 6760 chars
iOS and Android juice jacking defenses have been trivial to bypass for years - Ars Technica,New ChoiceJacking attack allows malicious chargers to steal data from phones.,,iOS and Android juice jacking defenses have been trivial to bypass for years - Ars Technica New ChoiceJacking attack allows malicious chargers to steal data from phones. ,ios android juice jacking defenses trivial bypass years ars technica new choicejacking attack allows malicious chargers steal data phones
6 hours of sedentary behavior a day linked to neck pain - The Washington Post,"Using mobile phones was the riskiest screen-based activity, increasing the likelihood of neck pain by 82 percent, a review found.","Being sedentary for more than six hours a day greatly increased the risk of neck pain, according to a systematic research review published in the journal BMC Public Health.
The reviews authors looke… [+1843 chars]","6 hours of sedentary behavior a day linked to neck pain - The Washington Post Using mobile phones was the riskiest screen-based activity, increasing the likelihood of neck pain by 82 percent, a review found. Being sedentary for more than six hours a day greatly increased the risk of neck pain, according to a systematic research review published in the journal BMC Public Health.
The reviews authors looke… [+1843 chars]",6 hours sedentary behavior day linked neck pain washington post using mobile phones riskiest screenbased activity increasing likelihood neck pain 82 percent review found sedentary six hours day greatly increased risk neck pain according systematic research review published journal bmc public health reviews authors looke… 1843 chars
Galaxy Z Fold 7 leak: Samsung may be about to make every other foldable look thick - PhoneArena,Galaxy Z Fold 7 might be Samsung's boldest move yet - and it's coming for everyone.,"Galaxy Z Fold 6. | Image Credit - PhoneArenaA surprising rumor indicates the Galaxy Z Fold 7's thickness when folded may wipe the floor with the competition. 
The Galaxy Z Fold 7 and Z Flip 7 are Sa… [+3366 chars]","Galaxy Z Fold 7 leak: Samsung may be about to make every other foldable look thick - PhoneArena Galaxy Z Fold 7 might be Samsung's boldest move yet - and it's coming for everyone. Galaxy Z Fold 6. | Image Credit - PhoneArenaA surprising rumor indicates the Galaxy Z Fold 7's thickness when folded may wipe the floor with the competition. 
The Galaxy Z Fold 7 and Z Flip 7 are Sa… [+3366 chars]",galaxy z fold 7 leak samsung may make every foldable look thick phonearena galaxy z fold 7 might samsungs boldest move yet coming everyone galaxy z fold 6 image credit phonearenaa surprising rumor indicates galaxy z fold 7s thickness folded may wipe floor competition galaxy z fold 7 z flip 7 sa… 3366 chars
Sorrow and fury among Vancouver's Filipinos after attack on festival - BBC,The community is reeling after 11 were killed and dozens injured by a car ramming attack on a street event.,"Neal Razzell
Vancouver's Lapu Lapu festival, meant to be a celebration of Filipino pride, ended in a wail of sirens and screamson Saturday.
Eleven people - the youngest just five - died and many mo… [+2632 chars]","Sorrow and fury among Vancouver's Filipinos after attack on festival - BBC The community is reeling after 11 were killed and dozens injured by a car ramming attack on a street event. Neal Razzell
Vancouver's Lapu Lapu festival, meant to be a celebration of Filipino pride, ended in a wail of sirens and screamson Saturday.
Eleven people - the youngest just five - died and many mo… [+2632 chars]",sorrow fury among vancouvers filipinos attack festival bbc community reeling 11 killed dozens injured car ramming attack street event neal razzell vancouvers lapu lapu festival meant celebration filipino pride ended wail sirens screamson saturday eleven people youngest five died many mo… 2632 chars
Study Suggests Life Emerges Rapidly in Earth-Like Conditions - ScienceAlert,"At some early point in Earth's history, a collection of increasingly complex chemicals performed a new trick.","At some early point in Earth's history, a collection of increasingly complex chemicals performed a new trick.
They somehow transformed themselves, with help from a jolt of energy, into an energy-pro… [+7067 chars]","Study Suggests Life Emerges Rapidly in Earth-Like Conditions - ScienceAlert At some early point in Earth's history, a collection of increasingly complex chemicals performed a new trick. At some early point in Earth's history, a collection of increasingly complex chemicals performed a new trick.
They somehow transformed themselves, with help from a jolt of energy, into an energy-pro… [+7067 chars]",study suggests life emerges rapidly earthlike conditions sciencealert early point earths history collection increasingly complex chemicals performed new trick early point earths history collection increasingly complex chemicals performed new trick somehow transformed help jolt energy energypro… 7067 chars
Hubble at 35: Unveiling a Universe of Dazzling Images and Deep Discoveries - SciTechDaily,"Hubble’s 35-year journey showcases humanity’s boldest space achievements, capturing everything from new stars forming to ancient galaxies. Its discoveries revolutionized our understanding of black holes, dark energy, and distant worlds, while its stunning ima…","In celebration of the NASA/ESA Hubble Space Telescope’s 35 years in Earth orbit, an assortment of compelling images have been released that were recently taken by Hubble. Credit: NASA, ESA, STScI
Hu… [+14835 chars]","Hubble at 35: Unveiling a Universe of Dazzling Images and Deep Discoveries - SciTechDaily Hubble’s 35-year journey showcases humanity’s boldest space achievements, capturing everything from new stars forming to ancient galaxies. Its discoveries revolutionized our understanding of black holes, dark energy, and distant worlds, while its stunning ima… In celebration of the NASA/ESA Hubble Space Telescope’s 35 years in Earth orbit, an assortment of compelling images have been released that were recently taken by Hubble. Credit: NASA, ESA, STScI
Hu… [+14835 chars]",hubble 35 unveiling universe dazzling images deep discoveries scitechdaily hubble’s 35year journey showcases humanity’s boldest space achievements capturing everything new stars forming ancient galaxies discoveries revolutionized understanding black holes dark energy distant worlds stunning ima… celebration nasaesa hubble space telescope’s 35 years earth orbit assortment compelling images released recently taken hubble credit nasa esa stsci hu… 14835 chars
Dementia risk could be slashed 20 per cent by these two types of exercise - Surrey Live,"Regularly exercising is ""one of the best things"" you can do to minimise your risk of dementia.",Experts have identified two types of physical activity that could cut the likelihood of developing dementia by a significant amount. Engaging in these exercises on a regular basis may reduce the risk… [+4662 chars],"Dementia risk could be slashed 20 per cent by these two types of exercise - Surrey Live Regularly exercising is ""one of the best things"" you can do to minimise your risk of dementia. Experts have identified two types of physical activity that could cut the likelihood of developing dementia by a significant amount. Engaging in these exercises on a regular basis may reduce the risk… [+4662 chars]",dementia risk could slashed 20 per cent two types exercise surrey live regularly exercising one best things minimise risk dementia experts identified two types physical activity could cut likelihood developing dementia significant amount engaging exercises regular basis may reduce risk… 4662 chars
